ages,list_price,num_reviews,piece_count,play_star_rating,prod_desc,set_number,review_difficulty,star_rating,val_star_rating,country,piece_cost
10+,9.99,10.0,139,4.2,Add some Disney fairytale romance with a LEGO® BrickHeadz construction character featuring Belle!,41595,Easy,4.8,4.7,US,0.0718705035971223
10+,9.99,2.0,116,5.0,Bring a classic Disney tale to life with a LEGO® BrickHeadz construction character featuring Beast!,41596,Average,5.0,5.0,US,0.08612068965517242
10+,9.99,12.0,151,3.3,Show off the evil trickster with LEGO® BrickHeadz The Joker™!,41588,Easy,4.8,4.7,US,0.066158940397351
10+,9.99,4.0,143,3.5,Recruit your own elite agent with LEGO® BrickHeadz Black Widow!,41591,Easy,4.8,4.8,US,0.06986013986013986
10+,9.99,10.0,101,4.3,Showcase the Boy Wonder with LEGO® BrickHeadz Robin™!,41587,Very Easy,4.8,4.9,US,0.09891089108910892
10+,9.99,9.0,99,3.5,Channel Batgirl™ with your own LEGO® BrickHeadz version!,41586,Easy,4.3,4.6,US,0.1009090909090909
6-12,199.99,35.0,888,4.7,Move heavy goods across LEGO® City with the Cargo Train!,60052,Average,4.4,3.8,US,0.22521396396396398
6-12,149.99,45.0,610,4.4,Get around LEGO® City fast in the High-speed Passenger Train!,60051,Average,4.4,4.0,US,0.24588524590163935
8-12,149.99,1.0,1250,5.0,Haul in fresh supplies at the exploration site!,60162,Average,5.0,4.0,US,0.119992
6-12,119.99,3.0,792,3.3,Sail the high seas and make a thrilling rescue!,60167,Average,3.7,3.3,US,0.15150252525252525
8-12,119.99,6.0,813,4.5,Discover the secrets of the jungle with the LEGO® City explorers!,60161,Average,4.3,4.0,US,0.1475891758917589
6-12,99.99,10.0,894,4.2,Throw the crooks back in jail after they break out!,60141,Easy,4.7,4.0,US,0.11184563758389261
6-12,99.99,16.0,919,4.5,Jump into action and save the hot dog stand… and lunch!,60110,Average,4.6,4.6,US,0.10880304678998912
6-12,89.99,8.0,663,4.4,Stop the crooks from breaking their partner out of jail!,60174,Average,4.6,4.0,US,0.1357315233785822
6-12,79.99,4.0,740,5.0,Load up the truck and deliver the goods!,60169,Average,5.0,4.3,US,0.10809459459459458
5-12,69.99,9.0,561,3.9,Protect the bank and stop the crooks!,60140,Easy,3.3,3.6,US,0.12475935828877005
7-12,59.99,3.0,426,4.7,Watch your step while you explore new things in the jungle!,60160,Average,5.0,4.7,US,0.14082159624413146
5-12,59.99,2.0,303,4.5,Fly in and surprise the crooks at their hideout!,60173,Average,4.0,2.5,US,0.197986798679868
6-12,59.99,8.0,415,4.4,Perform a daring helicopter rescue before the shark gets too close!,60166,Challenging,4.4,4.0,US,0.1445542168674699
6-12,49.99,10.0,374,3.9,Stop the crooks before they escape from the mobile jail!,60139,Easy,4.0,3.3,US,0.13366310160427808
5-12,49.99,16.0,337,3.6,"Hop on, there’s so much to see with the LEGO® City bus!",60154,Easy,3.3,2.7,US,0.14833827893175075
5-12,49.99,1.0,294,4.0,Drive in the heavy driller and start digging the cave!,60186,Average,5.0,4.0,US,0.17003401360544218
5-12,39.99,10.0,169,4.3,Pack your city with a bunch of new people!,60153,Very Easy,4.1,3.6,US,0.23662721893491126
5-12,39.99,14.0,294,4.2,Help Chase McCain and the police nab the crook!,60138,Average,4.2,4.1,US,0.1360204081632653
5-12,39.99,2.0,347,4.5,Race to the rescue on land and sea!,60165,Very Easy,5.0,5.0,US,0.1152449567723343
6-12,39.99,5.0,378,4.8,Defend the mission and dodge a surprise in the jungle!,60159,Easy,4.8,4.6,US,0.1057936507936508
5-12,39.99,8.0,257,4.2,Call the Fire Response Unit for help!,60108,Average,3.9,3.8,US,0.15560311284046693
5-12,29.99,7.0,344,5.0,"Load up the Pickup & Caravan, it’s time for a vacation!",60182,Easy,5.0,5.0,US,0.08718023255813953
5-12,29.99,7.0,310,4.4,Haul in the helicopter to handle the heavy lifting!,60183,Easy,4.7,4.7,US,0.09674193548387096
5-12,24.99,11.0,214,4.5,Put out the burning oil barrel!,60107,Easy,4.5,4.1,US,0.11677570093457944
6-12,19.99,4.0,192,5.0,Jump the fire and give the crowd a thrilling show!,60180,Average,5.0,5.0,US,0.10411458333333333
5-12,19.99,35.0,249,4.6,Order a pizza to go!,60150,Easy,4.9,4.8,US,0.08028112449799196
5-12,19.99,89.0,24,2.9,Get killer curves in your tracks!,7499,Easy,2.5,2.2,US,0.8329166666666666
5-12,19.99,12.0,239,4.7,Gear up for the big race!,60148,Easy,4.8,4.6,US,0.08364016736401673
5-12,19.99,6.0,190,4.2,Transport the mountain snowboarder to the hospital!,60179,Easy,3.8,4.7,US,0.10521052631578946
5-12,19.99,7.0,174,4.3,Load the freshly cut logs with the awesome Forest Tractor!,60181,Easy,4.4,4.2,US,0.11488505747126436
5-12,19.99,8.0,144,4.4,Catch the crook before he tows the safe away!,60137,Easy,4.3,4.0,US,0.13881944444444444
5-12,19.99,1.0,126,5.0,Speed after the crook on an exciting river chase!,60176,Easy,5.0,4.0,US,0.15865079365079363
5-12,19.99,1.0,127,5.0,Break up the rocks and discover the treasure inside!,60185,Easy,5.0,5.0,US,0.1574015748031496
5-12,19.99,3.0,141,4.3,Fly in and save the stranded sailor before he floats away!,60164,Easy,4.3,4.7,US,0.14177304964539006
6-12,19.99,5.0,201,4.3,Fly into the jungle and explore the hidden temple!,60158,Average,4.4,3.8,US,0.09945273631840795
5-12,15.99,47.0,8,4.2,"Switch tracks – build a bigger, more exciting railway track.",7895,Very Easy,4.1,3.6,US,1.99875
5-12,14.99,85.0,2,4.1,Add roads to your LEGO® town!,7280,Very Easy,3.5,2.3,US,7.495
5-12,14.99,40.0,2,4.1,Roads for your LEGO® layout!,7281,Very Easy,3.9,2.8,US,7.495
5-12,9.99,2.0,87,4.5,Wow the crowds in the sleek Airshow Jet!,60177,Easy,4.5,5.0,US,0.11482758620689655
5-12,9.99,12.0,88,4.5,Cruise into the jungle and make a big discovery!,60157,Easy,4.9,4.6,US,0.11352272727272728
5-12,9.99,4.0,76,4.8,Rescue the surfer and be a coast guard hero!,60163,Very Easy,5.0,4.5,US,0.13144736842105265
5-12,9.99,2.0,82,4.5,Blow up the rock pile and discover gold!,60184,Very Easy,5.0,4.0,US,0.12182926829268292
5-12,9.99,1.0,78,4.0,Climb in the cockpit and set a new speed record!,60178,Easy,5.0,4.0,US,0.1280769230769231
5-12,6.99,2.0,37,4.5,Catch the crook before he escapes with the loot!,60170,Very Easy,4.5,5.0,US,0.18891891891891893
5-12,6.99,5.0,53,3.8,Explore the depths of the jungle and find something amazing!,60156,Easy,3.6,4.2,US,0.1318867924528302
5-12,39.99,30.0,157,4.7,Fill up your city with people!,60134,Very Easy,4.6,4.0,US,0.25471337579617837
8-12,149.99,5.0,1277,5.0,Help out the volcano explorers and bring in the big equipment!,60125,Average,4.6,4.2,US,0.11745497259201254
8-12,119.99,9.0,824,5.0,Get busy with some serious scientific work!,60124,Average,4.6,4.6,US,0.14561893203883494
6-12,79.99,2.0,412,4.5,Save the lighthouse and rescue the keeper with the Fire Boat!,60109,Easy,4.5,4.0,US,0.1941504854368932
5-12,49.99,5.0,200,3.8,Keep the crook from escaping his boat ride to prison!,60129,Easy,3.2,2.0,US,0.24995
7-12,49.99,3.0,330,4.7,Fly in the exploration gear and fly out the crystals!,60123,Easy,4.3,4.0,US,0.1514848484848485
6-12,39.99,4.0,324,5.0,Bring out the heavy machinery to do exploring right!,60122,Average,5.0,4.5,US,0.12342592592592594
6-12,29.99,14.0,301,4.0,Take the Ferry to your next adventure!,60119,Easy,4.2,4.2,US,0.09963455149501661
5-12,29.99,8.0,248,3.4,Celebrate 24 fun days with the LEGO® City Advent Calendar!,60155,Easy,3.8,3.5,US,0.12092741935483871
5-12,24.99,13.0,157,4.4,Load up the Cargo Plane and get ready to fly!,60101,Easy,4.6,4.2,US,0.15917197452229298
5-12,24.99,6.0,175,4.8,Head off-road and make the big discoveries!,60121,Easy,4.8,4.4,US,0.14279999999999998
5-12,19.99,35.0,250,4.5,Pack up the gear; it’s time to go camping!,60117,Easy,4.6,4.6,US,0.07995999999999999
5-12,19.99,7.0,138,4.7,Catch the crook before she gets away with the safe!,60142,Easy,4.4,4.1,US,0.1448550724637681
5-12,9.99,8.0,80,4.1,Stop the crooks before they empty the ATM!,60136,Easy,4.6,4.3,US,0.124875
5-12,9.99,8.0,91,4.3,Strap in and jump some ramps!,60146,Easy,4.8,4.4,US,0.10978021978021978
5-12,9.99,7.0,81,4.9,Start your engine and race through the dunes!,60145,Very Easy,4.9,4.9,US,0.12333333333333334
5-12,9.99,7.0,83,4.7,Explore the volcano and make an exciting discovery!,60120,Easy,4.3,4.3,US,0.12036144578313253
5-12,9.99,10.0,81,4.4,Help get LEGO® City's mail on the helicopter!,60100,Very Easy,4.9,5.0,US,0.12333333333333334
5-12,9.99,11.0,90,3.9,Save the dockworker and put out the blaze!,60106,Easy,4.1,4.1,US,0.111
5-12,6.99,5.0,47,4.3,Chase down the crook with the ATV!,60135,Very Easy,4.4,4.6,US,0.14872340425531916
4-99,59.99,4.0,790,5.0,"Create all kinds of buildings with LEGO® bricks, windows and doors!",10698,Easy,5.0,5.0,US,0.0759367088607595
4-99,34.99,11.0,484,4.6,Create your own LEGO® vehicles with LEGO Classic!,10696,Easy,4.6,4.7,US,0.07229338842975207
4-99,19.99,2.0,213,5.0,Bring along a world of creativity in your own LEGO® Creative Suitcase!,10713,Very Easy,5.0,5.0,US,0.09384976525821595
4-99,19.99,8.0,303,4.8,"Get ideas, get creative and get building!",10693,Easy,4.9,4.9,US,0.06597359735973597
4-99,16.99,7.0,221,4.3,Get creative with classic LEGO® bricks in 29 different colors!,10692,Easy,4.1,4.3,US,0.07687782805429863
4-99,14.99,24.0,1,4.3,Add another useful piece to your LEGO® collection with this Gray Baseplate!,10701,Very Easy,4.1,3.5,US,14.99
4-99,7.99,6.0,1,4.7,Create your own world on a Blue LEGO® Baseplate!,10714,Very Easy,4.7,4.3,US,7.99
4-99,7.99,46.0,1,3.2,Add another useful piece to your LEGO® collection with this Bright Green Baseplate!,10700,Very Easy,2.6,2.5,US,7.99
4-99,4.99,8.0,78,4.6,Unleash your imagination with the LEGO® Blue Creativity Box!,10706,Very Easy,4.8,5.0,US,0.06397435897435898
4-99,4.99,5.0,66,4.5,Unleash your imagination with the LEGO® Green Creativity Box!,10708,Easy,4.8,4.5,US,0.07560606060606061
4-99,4.99,4.0,55,4.3,Unleash your imagination with the LEGO® Red Creativity Box!,10707,Average,4.5,4.3,US,0.09072727272727273
4-99,4.99,3.0,60,2.7,Unleash your imagination with the LEGO® Orange Creativity Box!,10709,Easy,4.7,5.0,US,0.08316666666666667
4+,2.49,180.0,1,4.0,Everyone needs one!,630,Very Easy,4.8,4.6,US,2.49
4-99,19.99,6.0,303,4.3,Build whatever your heart desires with LEGO® bricks in 20 different bright colors!,10694,Easy,4.5,4.3,US,0.06597359735973597
4-99,7.99,24.0,1,3.9,Add another useful piece to your LEGO® collection with this Sand Baseplate!,10699,Very Easy,3.6,2.9,US,7.99
8-12,69.99,11.0,728,3.2,Build and enjoy the delightful 3-in-1 Family Villa!,31069,Average,3.4,3.2,US,0.09614010989010989
9-12,59.99,14.0,670,4.2,Get behind the wheel of the awesome 3-in-1 Turbo Track Racer!,31070,Average,4.5,4.3,US,0.08953731343283583
8-12,39.99,4.0,422,4.0,Enjoy awesome activities at the 3-in-1 Modular Skate House!,31081,Average,4.8,4.3,US,0.09476303317535545
8-12,34.99,5.0,379,4.0,Enjoy seaside fun with the 3-in-1 Sunshine Surfer Van set!,31079,Easy,4.4,4.2,US,0.09232189973614777
7-12,34.99,2.0,374,4.0,Hit the slopes with the 3-in-1 Modular Winter Vacation set!,31080,Easy,3.5,4.0,US,0.09355614973262033
7-12,29.99,12.0,285,4.3,Launch a satellite with the 3-in-1 Space Shuttle Explorer!,31066,Easy,4.2,4.4,US,0.10522807017543859
8-12,29.99,10.0,386,3.2,Enjoy eco-friendly adventures with the 3-in-1 Modern Home!,31068,Average,3.8,3.9,US,0.07769430051813471
7-12,29.99,8.0,356,4.0,Play all day on a 3-in-1 Poolside Holiday!,31067,Average,4.6,4.9,US,0.08424157303370786
7-12,19.99,9.0,205,4.5,Have fun with the cute 3-in-1 Robo Explorer!,31062,Average,4.8,4.3,US,0.09751219512195121
7-12,19.99,2.0,241,4.5,Blast off from the start line in the 3-in-1 Rocket Rally Car!,31074,Easy,5.0,5.0,US,0.0829460580912863
7-12,19.99,1.0,200,5.0,Thrill the crowds with the 3-in-1 Daredevil Stunt Plane set!,31076,Average,5.0,5.0,US,0.09995
7-12,19.99,1.0,225,5.0,Head into the wilds with the 3-in-1 Outback Adventures set!,31075,Easy,4.0,4.0,US,0.08884444444444443
7-12,14.99,27.0,174,4.5,Enjoy roaring adventures with the 3-in-1 Mighty Dinosaurs!,31058,Easy,4.7,4.7,US,0.08614942528735632
7-12,14.99,5.0,223,4.7,Create a world of scary 3-in-1 Mythical Creatures!,31073,Easy,4.4,5.0,US,0.06721973094170404
6-12,9.99,6.0,122,4.5,Take an open-top drive in the cool 3-in-1 Green Cruiser!,31056,Easy,4.5,4.7,US,0.08188524590163934
6-12,9.99,1.0,102,4.0,Perform cool maneuvers with the 3-in-1 Air Blazer!,31057,Easy,4.0,4.0,US,0.09794117647058824
6-12,9.99,1.0,109,5.0,Be an eye in the sky with the 3-in-1 Drone Explorer!,31071,Average,5.0,5.0,US,0.09165137614678899
7-12,19.99,8.0,222,4.3,Get ready for the ultra-cool 3-in-1 Fast Car!,31046,Average,4.6,4.5,US,0.09004504504504504
8-12,19.99,1.0,194,5.0,Take the 3-in-1 Sunset Street Bike for high-speed spin!,31059,Average,5.0,5.0,US,0.10304123711340206
8-12,59.99,15.0,528,4.7,Meet the wildlife at the brightly lit Lighthouse Point!,31051,Average,4.7,4.3,US,0.11361742424242424
7-12,29.99,2.0,359,5.0,Fly to warmer climes for 3-in-1 Island Adventures!,31064,Average,4.5,4.5,US,0.08353760445682451
7-12,29.99,9.0,286,4.5,Enjoy summer adventures with the 3-in-1 Beach Hut!,31035,Easy,4.4,4.1,US,0.10486013986013985
7-12,29.99,5.0,275,4.0,Enjoy the beach life with the 3-in-1 Beachside Vacation!,31063,Average,4.2,3.4,US,0.10905454545454545
8-12,29.99,4.0,326,4.8,Conquer ice and snow with the 3-in-1 Twin Spin Helicopter!,31049,Average,5.0,4.8,US,0.09199386503067485
7-12,19.99,7.0,230,4.8,Take a flight in the cool 3-in-1 Propeller Plane!,31047,Average,4.9,4.7,US,0.08691304347826086
6-12,9.99,4.0,132,4.0,Airlift vital supplies with the awesome 3-in-1 Cargo Heli!,31029,Average,4.8,4.8,US,0.07568181818181818
16+,369.99,43.0,5923,3.9,Discover the architectural wonder of the Taj Mahal!,10256,Challenging,4.8,4.5,US,0.06246665541110924
16+,169.99,62.0,2480,4.4,Discover a place where music is on the menu!,10260,Challenging,4.6,4.3,US,0.06854435483870969
12+,79.99,51.0,902,3.8,Head home for the holidays with the Winter Village Station!,10259,Average,3.8,3.4,US,0.08868070953436806
16+,279.99,99.0,4002,4.7,Celebrate ten years of Modular Building with the Assembly Square!,10255,Challenging,4.8,4.5,US,0.06996251874062968
16+,249.99,64.0,4163,3.7,Build the world’s best-known clock tower!,10253,Challenging,4.6,4.6,US,0.06005044439106414
16+,239.99,228.0,4295,4.2,Build London's famous Tower Bridge!,10214,Challenging,4.8,4.6,US,0.055876600698486614
16+,199.99,53.0,2670,4.2,Discover the fairground’s star attraction with the Carousel!,10257,Challenging,4.4,4.2,US,0.07490262172284645
16+,199.99,91.0,2464,4.9,Experience the wonderful LEGO® Creator Ferris Wheel!,10247,Challenging,4.9,4.7,US,0.08116477272727272
16+,169.99,115.0,2382,4.5,Make a safe deposit at the Brick Bank!,10251,Challenging,4.7,4.2,US,0.07136439966414777
16+,159.99,202.0,2469,4.7,Have an unforgettable evening at the amazing Parisian Restaurant!,10243,Challenging,4.9,4.7,US,0.06479951397326854
16+,159.99,177.0,2262,4.4,Discover hidden clues and surprises at the Detective's Office!,10246,Challenging,4.6,4.4,US,0.07072944297082229
16+,139.99,53.0,1686,4.1,All aboard the London Bus!,10258,Average,4.6,4.3,US,0.08303084223013049
16+,119.99,337.0,1334,4.3,Road trips will never be the same again with the iconic 1962 Volkswagen T1 Camper Van,10220,Challenging,4.7,4.5,US,0.08994752623688156
16+,99.99,66.0,1167,4.5,Head for the beach with the VW Beetle!,10252,Average,4.9,4.7,US,0.08568123393316195
16+,99.99,134.0,1077,4.4,Take this MINI Cooper for a nostalgic drive down memory lane!,10242,Average,4.7,4.5,US,0.09284122562674094
12+,99.99,77.0,734,4.3,Climb aboard the magical Winter Holiday Train!,10254,Average,4.3,4.1,US,0.13622615803814714
14+,269.99,19.0,3444,4.9,Dare to enter The Joker™ Manor!,70922,Challenging,5.0,4.9,US,0.07839430894308944
9-14,129.99,13.0,955,4.1,Unleash the Batmobile from The Flying Fox!,76087,Average,3.7,3.0,US,0.1361151832460733
7-14,89.99,6.0,267,4.7,"With LEGO® Dimensions™, you're gonna need a bigger imagination!",71171,Average,4.3,4.0,US,0.33704119850187264
8-14,79.99,9.0,643,4.4,Launch a space mission from the Batcave!,70923,Average,4.8,3.5,US,0.12440124416796267
7-14,49.99,6.0,622,5.0,Fight for the Mother Box with Batman’s Knightcrawler!,76086,Average,5.0,4.8,US,0.08036977491961415
7-14,49.99,5.0,425,3.2,Dodge Harley Quinn’s cannonball attacks!,70921,Average,3.2,2.6,US,0.11762352941176471
7-14,39.99,5.0,406,5.0,Power up for battle against the Lex Luthor™ Mech!,76097,Average,4.8,4.8,US,0.09849753694581281
6-12,29.99,6.0,271,4.5,Pursue Reverse Flash™ and grab the Energy Infuser!,76098,Easy,4.8,4.5,US,0.11066420664206641
7-14,29.99,5.0,267,3.6,Party on with Superman™ and friends!,70919,Easy,3.2,3.4,US,0.11232209737827714
7-14,29.99,11.0,293,4.9,Join Batman™ in a comical food fight!,70920,Average,4.7,4.6,US,0.10235494880546074
4-7,24.99,1.0,151,5.0,Swoop in with Batman™ and take on the Joker™!,10753,Easy,5.0,5.0,US,0.16549668874172185
6-12,19.99,9.0,197,3.9,Protect the precious Mother Box from the evil Parademon™!,76085,Easy,4.2,3.9,US,0.1014720812182741
6-12,19.99,1.0,199,5.0,Help Superman™ bust out of the Kryptonite prison!,76096,Average,5.0,5.0,US,0.10045226130653266
10+,9.99,5.0,143,4.6,Stand tall with LEGO® BrickHeadz Wonder Woman™!,41599,Easy,5.0,5.0,US,0.06986013986013986
10+,9.99,3.0,122,2.7,Live life in the fast lane with LEGO® BrickHeadz The Flash™!,41598,Very Easy,4.0,3.0,US,0.08188524590163934
10+,9.99,1.0,135,1.0,Dive in with LEGO® BrickHeadz Aquaman™!,41600,Very Easy,4.0,3.0,US,0.074
10+,9.99,2.0,108,3.5,Get an upgrade with LEGO® BrickHeadz Cyborg™,41601,Easy,5.0,4.0,US,0.0925
8-12,79.99,7.0,712,3.7,Train your skills and learn how to become a Super Hero!,41232,Average,3.9,3.6,US,0.11234550561797751
7-12,24.99,4.0,206,5.0,Recover Batgirl’s ePad from the evil Kryptomite™!,41230,Easy,4.5,4.3,US,0.12131067961165047
