ages,list_price,num_reviews,piece_count,play_star_rating,prod_desc,set_number,review_difficulty,star_rating,val_star_rating,country,piece_cost
8-14,39.99,5.0,330,4.0,Put the wind in your sails with this amazing Racing Yacht!,42074,Average,4.8,4.2,US,0.12118181818181818
8-14,29.99,10.0,365,4.6,Call in the Roadwork Crew!,42060,Easy,4.8,4.6,US,0.08216438356164384
9-16,29.99,57.0,10,4.6,Motorize your LEGO® Technic creations with the Power Functions Motor Set!,8293,Easy,4.5,3.9,US,2.9989999999999997
7-14,19.99,7.0,142,4.4,Fly off the ramp at high speed with the super-fast Stunt Truck!,42059,Easy,4.7,4.6,US,0.14077464788732394
7-14,19.99,2.0,139,4.5,Get ready for high-speed action and impacts with the BASH!,42073,Easy,4.0,3.5,US,0.14381294964028776
8-14,19.99,9.0,199,4.3,Take to the skies with the Ultralight Helicopter!,42057,Easy,4.7,4.8,US,0.10045226130653266
7-14,19.99,2.0,140,4.5,Hit the ramp at high speed with the awesome Stunt Bike!,42058,Easy,4.0,4.0,US,0.14278571428571427
8-14,19.99,2.0,171,5.0,Call in the powerful Dozer Compactor!,42071,Challenging,5.0,5.0,US,0.11690058479532163
7-14,14.99,2.0,176,4.5,Collect and transport heavy cargo with the Hook Loader!,42084,Easy,4.5,4.5,US,0.08517045454545455
11-16,179.99,18.0,1977,4.3,Harness the awesome power of the CLAAS XERION 5000 TRAC VC,42054,Challenging,4.8,4.6,US,0.0910419828022256
10-16,139.99,19.0,1043,4.0,Airlift massive loads with the Heavy Lift Helicopter!,42052,Challenging,4.3,4.4,US,0.13421860019175455
11-16,129.99,23.0,1219,4.6,Scream around the circuit in the lightning-fast LEGO® Technic 24 Hours Race Car!,42039,Challenging,4.8,4.7,US,0.10663658736669401
10-16,119.99,18.0,1166,4.6,Operate the powerful Volvo EW160E!,42053,Average,4.8,4.8,US,0.10290737564322469
9-16,59.99,16.0,494,4.5,Take on mountainous terrain with the LEGO® Technic Formula Off-Roader!,42037,Average,4.6,4.3,US,0.12143724696356276
9-16,49.99,9.0,476,4.1,Call in the powerful Mine Loader!,42049,Average,4.3,4.1,US,0.10502100840336134
9-16,39.99,15.0,375,4.7,Take to the open road with the LEGO® Technic Street Motorcycle!,42036,Average,4.9,4.6,US,0.10664
9-16,39.99,6.0,260,4.6,Utilize the power and reach of the awesome Telehandler!,42061,Average,4.8,4.8,US,0.1538076923076923
8-14,19.99,9.0,252,4.8,Clear the ground with the LEGO® Technic Compact Track Loader!,42032,Average,4.6,4.6,US,0.07932539682539681
7-14,19.99,8.0,125,4.7,Smash land speed records with the LEGO® Technic Record Breaker!,42033,Easy,4.6,4.1,US,0.15991999999999998
8-14,19.99,5.0,180,4.8,Thunder over the ocean with the Hydroplane Racer!,42045,Easy,4.8,5.0,US,0.11105555555555555
7-14,12.99,4.0,155,3.8,Reach dizzying heights with the awesome LEGO® Technic Cherry Picker!,42031,Easy,4.8,4.8,US,0.08380645161290323
7-14,12.99,5.0,113,4.6,Thrill the crowds with the Display Team Jet!,42044,Average,4.6,4.6,US,0.11495575221238938
14+,269.99,19.0,3444,4.9,Dare to enter The Joker™ Manor!,70922,Challenging,5.0,4.9,US,0.07839430894308944
12-16,149.99,20.0,1628,3.5,Break into Arkham Asylum with Batman™!,70912,Average,3.8,3.3,US,0.09213144963144963
