set_number,set_name,year_released,image_url,theme_name
42050,Drag Racer,2016,https://cdn.rebrickable.com/media/sets/42050-1.jpg,Technic
42052,Heavy Lift Helicopter,2016,https://cdn.rebrickable.com/media/sets/42052-1.jpg,Technic
42053,Volvo EW160E,2016,https://cdn.rebrickable.com/media/sets/42053-1.jpg,Technic
42054,CLAAS XERION 5000 TRAC VC,2016,https://cdn.rebrickable.com/media/sets/42054-1.jpg,Technic
42055,Bucket Wheel Excavator,2016,https://cdn.rebrickable.com/media/sets/42055-1.jpg,Technic
42056,Porsche 911 GT3 RS,2016,https://cdn.rebrickable.com/media/sets/42056-1.jpg,Technic
42057,Ultralight Helicopter,2017,https://cdn.rebrickable.com/media/sets/42057-1.jpg,Technic
42058,Stunt Bike,2017,https://cdn.rebrickable.com/media/sets/42058-1.jpg,Technic
42059,Stunt Truck,2017,https://cdn.rebrickable.com/media/sets/42059-1.jpg,Technic
42060,Roadwork Crew,2017,https://cdn.rebrickable.com/media/sets/42060-1.jpg,Technic
42061,Telehandler,2017,https://cdn.rebrickable.com/media/sets/42061-1.jpg,Technic
42062,Container Yard,2017,https://cdn.rebrickable.com/media/sets/42062-1.jpg,Technic
42063,BMW R 1200 GS Adventure,2017,https://cdn.rebrickable.com/media/sets/42063-1.jpg,Technic
42063,Technic 40 Year Anniversary Model,2017,https://cdn.rebrickable.com/media/sets/42063-40.jpg,Technic
42064,Ocean Explorer,2017,https://cdn.rebrickable.com/media/sets/42064-1.jpg,Technic
42065,RC Tracked Racer,2017,https://cdn.rebrickable.com/media/sets/42065-1.jpg,Technic
42066,Air Race Jet,2017,https://cdn.rebrickable.com/media/sets/42066-1.jpg,Technic
42068,Airport Rescue Vehicle,2017,https://cdn.rebrickable.com/media/sets/42068-1.jpg,Technic
42069,Extreme Adventure,2017,https://cdn.rebrickable.com/media/sets/42069-1.jpg,Technic
42070,6x6 All Terrain Tow Truck,2017,https://cdn.rebrickable.com/media/sets/42070-1.jpg,Technic
42071,Dozer Compactor,2018,https://cdn.rebrickable.com/media/sets/42071-1.jpg,Technic
42072,WHACK!,2018,https://cdn.rebrickable.com/media/sets/42072-1.jpg,Technic
42073,BASH!,2018,https://cdn.rebrickable.com/media/sets/42073-1.jpg,Technic
42074,Racing Yacht,2018,https://cdn.rebrickable.com/media/sets/42074-1.jpg,Technic
42075,First Responder,2018,https://cdn.rebrickable.com/media/sets/42075-1.jpg,Technic
42076,Hovercraft,2018,https://cdn.rebrickable.com/media/sets/42076-1.jpg,Technic
42077,Rally Car,2018,https://cdn.rebrickable.com/media/sets/42077-1.jpg,Technic
42078,Mack Anthem,2018,https://cdn.rebrickable.com/media/sets/42078-1.jpg,Technic
42079,Heavy Duty Forklift,2018,https://cdn.rebrickable.com/media/sets/42079-1.jpg,Technic
42080,Forest Machine,2018,https://cdn.rebrickable.com/media/sets/42080-1.jpg,Technic
42081,Volvo Concept Wheel Loader ZEUX,2018,https://cdn.rebrickable.com/media/sets/42081-1.jpg,Technic
42082,Rough Terrain Crane,2018,https://cdn.rebrickable.com/media/sets/42082-1.jpg,Technic
42083,Bugatti Chiron,2018,https://cdn.rebrickable.com/media/sets/42083-1.jpg,Technic
